parameter_set,position_gain,heading_gain,look_ahead_distance,mean_position_error,max_position_error,final_position_error,steady_state_error,mean_heading_error,max_heading_error,total_simulation_time,settling_time,path_length,reference_path_length,path_efficiency,goal_reached
Conservative,1.0,1.5,1.2,0.10665444060404942,0.35474483687124847,0.10108492357199936,0.038511572584222366,4.51569130171782,19.929544186778678,24.05,18.3,11.644655830580195,12.141208622431598,95.91018647901336,True
Balanced,1.5,2.0,0.8,0.061340890771134714,0.1835767349812669,0.10263243940870405,0.02705997468742787,3.6757424299943464,15.876570993594333,23.950000000000003,16.45,11.827857817294962,12.141208622431598,97.41911357525228,True
Aggressive,2.5,3.0,0.5,0.03801917536923464,0.0889119034980194,0.10066325641745358,0.025528618934752598,3.0599954837822176,13.891378346437415,23.950000000000003,0.0,11.945596253684709,12.141208622431598,98.38885588057943,True
Precision,2.0,2.5,0.6,0.0443855013904916,0.11223015448827629,0.10201060643674507,0.025787062092685553,3.3082081945916646,14.760260854683064,23.950000000000003,15.75,11.90996587880296,12.141208622431598,98.09538942275151,True
Smooth,1.2,2.5,1.0,0.08148438306734097,0.2603739822421877,0.10108452732455146,0.030883473837904112,3.500267201943128,15.693878017209938,24.0,17.25,11.74325644728618,12.141208622431598,96.72230181095662,True
